Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-01-02,395,400.5,401,394.5,1.42,0
2020-01-03,402,400.5,402.5,396,0.92,0
2020-01-07,401,399.5,402.5,396,0.63,-0.25
2020-01-08,399.5,401.5,405,392,2.46,0.5
2020-01-09,403,408.5,412.5,402,2.84,1.74
2020-01-10,408.5,414.5,415,407,2.05,1.47
2020-01-13,415,418.5,418.5,408.5,2.15,0.97
2020-01-14,416,417,418.5,413.5,0.98,-0.36
2020-01-15,417,416.5,422,415.5,4.11,-0.12
2020-01-16,416,415,419.5,414,1.59,-0.36
2020-01-17,412,412,412,405,2.48,-0.72
2020-01-20,413,421,421,410,1.87,2.18
2020-01-21,421,425.5,427,419.5,4.38,1.07
2020-01-22,429.5,449,458,429.5,9.56,5.52
2020-01-23,451,448.5,460,448.5,3.08,-0.11
2020-01-24,448.5,448,448.5,438,1.62,-0.11
2020-01-27,442,434.5,443.5,428,4.98,-3.01
2020-01-28,434,434,441,431,1.7,-0.12
2020-01-29,434,434.5,439.5,430.5,1.13,0.12
2020-01-30,436,428.5,436,424,2.58,-1.38
2020-01-31,428,432,435,425,3.05,0.82
2020-02-03,426,436,436,418.5,2.63,0.93
2020-02-04,438,440,448,436.5,3.53,0.92
2020-02-05,440,441,449.5,438,4.27,0.23
2020-02-06,440,444,448,440,2.86,0.68
2020-02-07,445.5,444,448,441,1.55,0
2020-02-10,444,437,444,430,1.89,-1.58
2020-02-11,440,455,457,439.5,6.16,4.12
2020-02-12,455,453.5,456,450,1.88,-0.33
2020-02-13,456,454.5,459,447,1.96,0.22
2020-02-14,457.5,460,464,451.5,4.68,1.21
2020-02-17,460,470,475,460,3.69,2.17
2020-02-18,469.5,484,486,467.5,4.47,2.98
2020-02-19,482.5,477.5,493.5,471,5,-1.34
2020-02-20,478.5,478.5,481,458.5,8.13,0.21
2020-02-21,472,467.5,485,461.5,9.58,-2.3
2020-02-24,461,447,464.5,443.5,11.83,-4.39
2020-02-25,440,440,443,414,21.19,-1.57
2020-02-26,427,435,437,408,10.56,-1.14
2020-02-27,424,403,430.5,398.5,9.16,-7.36
2020-02-28,371,385,393.5,365.5,18.22,-4.47
2020-03-02,401,408,415,383,11.93,5.97
2020-03-03,416,431,435.5,416,11.37,5.64
2020-03-04,417,421.5,435,416,4.22,-2.2
2020-03-05,435,427,439,417.5,7.28,1.3
2020-03-06,410,414.5,417.5,408,5.24,-2.93
2020-03-09,380,374,394,364.5,17.05,-9.77
2020-03-10,381,359,385,356.5,6.74,-4.01
2020-03-11,359,359,359,359,0,0
2020-03-12,359,359,359,359,0,0
2020-03-13,293,295,317.5,286.5,13.19,-17.83
2020-03-16,294,337,337.5,256,14.76,14.24
2020-03-17,347,357,381,338,13.26,5.93
2020-03-18,364,357,380,350,7.13,0
2020-03-19,351,357,365.5,350,3.25,0
2020-03-20,365,346.5,378.5,334,9.2,-2.94
2020-03-23,342,336,350,312,5.17,-3.03
2020-03-24,360,357,360,343,4.83,6.25
2020-03-25,370,363,375,345.5,5.99,1.68
2020-03-26,372.5,363.5,372.5,352,5.59,0.14
2020-03-27,368,357,368,353,2.12,-1.79
2020-03-30,360,350,360,344.5,2,-1.96
2020-03-31,350,360,362,350,3.81,2.86
2020-04-01,359,360,363,354,1.78,0
2020-04-02,360,360,363,354,0.99,0
2020-04-03,360,362.5,365.5,355,4.4,0.69
2020-04-06,365,394,395,365,9.68,8.69
2020-04-07,402,362,414,362,10.28,-8.12
2020-04-08,365,367,378,358,4.3,1.38
2020-04-09,377,380,385,371,3.94,3.54
2020-04-10,380,380,380,380,0,0
2020-04-13,380,380,380,380,0,0
2020-04-14,385,396,396,380,4.26,4.21
2020-04-15,398,378,398,378,4.64,-4.55
2020-04-16,386,383,386,378.5,1.18,1.32
2020-04-17,383.5,391,394,383,4.99,2.09
2020-04-20,395,409.5,409.5,381.5,8.64,4.73
2020-04-21,409.5,395,410,390,7.33,-3.54
2020-04-22,391,406,408,391,4.74,2.78
2020-04-23,409,408,409,401.5,2.39,0.49
2020-04-24,405,410,415,402,3.33,0.49
2020-04-27,415,426.5,435,414,10.11,4.02
2020-04-28,430,443,460,427,11.71,3.87
2020-04-29,450,457,461.5,450,4.03,3.16
2020-04-30,450,435,450,416,13.39,-4.81
2020-05-04,430,408.5,430,406,19.42,-6.09
2020-05-05,414,415,427,413.5,8.39,1.59
2020-05-06,418.5,430,430,417,6.31,3.61
2020-05-07,430,432.5,434,416,3.09,0.58
2020-05-08,430,429,432.5,424.5,2.43,-0.81
2020-05-11,431,428.5,433,424,1.86,-0.12
2020-05-12,426,422.5,435,421,5.71,-1.4
2020-05-13,420,434,440,417,8.99,2.72
2020-05-14,439,431,443,424,4.63,-0.69
2020-05-15,460,459.5,462,441,14.75,6.61
2020-05-18,465,471,480,465,11.52,2.5
2020-05-19,475,485,485,471,10.31,2.97
2020-05-20,486,485.5,490,481.5,5.23,0.1
2020-05-21,484,486,487,476,3.32,0.1
2020-05-22,485,486,486,482.5,4.5,0
2020-05-25,488,484,490,475.5,4.66,-0.41
2020-05-26,488,485.5,505,485.5,13.98,0.31
2020-05-27,486,457.5,486.5,451,15.22,-5.77
2020-05-28,464,465,475,454,11.8,1.64
2020-05-29,473.5,473,474.5,460,3.9,1.72
2020-06-01,475.5,467.5,475.5,465,3.24,-1.16
2020-06-02,472,475,475,466.5,2.84,1.6
2020-06-03,475.5,495,498.5,472.5,8.09,4.21
2020-06-04,495,478.5,500,475.5,14.98,-3.33
2020-06-05,483,467.5,486,455.5,7.01,-2.3
2020-06-08,467.5,460,467.5,456,6.08,-1.6
2020-06-09,460,460,468,449.5,6.07,0
2020-06-11,460,460,460,460,0,0
2020-06-12,473,492,503,470,9.35,6.96
2020-06-15,488,479,488,476.5,4.3,-2.64
2020-06-16,490,498.5,503,490,4.27,4.07
2020-06-17,498.5,525,529,490.5,11.31,5.32
2020-06-18,535,521,553,512,13.5,-0.76
2020-06-19,521,521,528,513,5.45,0
2020-06-22,559,560,598,551,27.88,7.49
2020-06-23,565,583,601,565,12.67,4.11
2020-06-24,589,580,595,573,6.06,-0.51
2020-06-25,579,596,600,579,6.21,2.76
2020-06-26,605,604,618,593,13.43,1.34
2020-06-29,616,540,619,533,32.59,-10.6
2020-06-30,550,485,569,485,45.39,-10.19
2020-07-01,492,525,526,478,18.65,8.25
2020-07-02,532,549,551,525,10.3,4.57
2020-07-03,551,544,559,521,13.47,-0.91
2020-07-06,544,539,544,527,11.96,-0.92
2020-07-07,538,535,538,526,6.84,-0.74
2020-07-08,534,528,534,522,3.73,-1.31
2020-07-09,526,522,529,512,4.18,-1.14
2020-07-10,518,520,520,510,4.24,-0.38
2020-07-13,529,517,529,512,4.42,-0.58
2020-07-14,517,516,524,502,5.19,-0.19
2020-07-15,520,534,537,520,4.66,3.49
2020-07-16,534,528,536,519,1.78,-1.12
2020-07-17,528,525,532,523,1.84,-0.57
2020-07-20,521,538,539,520,5.54,2.48
2020-07-21,540,523,542,521,4.63,-2.79
2020-07-22,526,522,531,517,3.18,-0.19
2020-07-23,520,520,525,515,3.86,-0.38
2020-07-24,518,516,519,512,2.79,-0.77
2020-07-27,515,520,520,508,2.82,0.78
2020-07-28,510,506,515,505,3.07,-2.69
2020-07-29,506,517,519,505,4.58,2.17
2020-07-30,522,486,525,454,10.18,-6
2020-07-31,486,499.5,505,486,4.72,2.78
2020-08-03,504,500,512,498,5.45,0.1
2020-08-04,509,496,509,495,5,-0.8
2020-08-05,499.5,499.5,505,496.5,4.59,0.71
2020-08-06,502,503,507,496,2.17,0.7
2020-08-07,503,511,518,502,2.9,1.59
2020-08-10,517,505,517,505,1.96,-1.17
2020-08-11,509,500,509,499,1.24,-0.99
2020-08-12,500,493,504,490,3.27,-1.4
2020-08-13,492.5,506,507,490.5,1.37,2.64
2020-08-14,507,503,515,503,2.28,-0.59
2020-08-17,505,522,529,504,3.4,3.78
2020-08-18,522,539,544,516,9.65,3.26
2020-08-19,535,526,540,525,2.88,-2.41
2020-08-20,525,520,532,515,2.38,-1.14
2020-08-21,520,505,520,502,3.51,-2.88
2020-08-24,498.5,499,505,481,6,-1.19
2020-08-25,498,499,505,498,1.72,0
2020-08-26,499,488,503,488,5.06,-2.2
2020-08-27,498.5,499,509,492,3.47,2.25
2020-08-28,507,494,507,490.5,2.8,-1
2020-08-31,504,492,504,488,2.1,-0.4
2020-09-01,497,482,497.5,480.5,2.81,-2.03
2020-09-02,483,493,505,483,5.25,2.28
2020-09-03,499,491,503,491,3.18,-0.41
2020-09-04,487,486.5,494,485,3.65,-0.92
2020-09-07,490,493,495,486,1.99,1.34
2020-09-08,495,478,497,473,5.01,-3.04
2020-09-09,480,490,490,480,3.07,2.51
2020-09-10,491.5,495,495,491,1.65,1.02
2020-09-11,495.5,498,500,488,2.76,0.61
2020-09-14,501,497,507,496,2.67,-0.2
2020-09-15,497,489.5,497,485.5,1.78,-1.51
2020-09-16,489,483,491,482.5,1.37,-1.33
2020-09-17,485,485,491,483,1.29,0.41
2020-09-18,485,477.5,490,477.5,3.42,-1.55
2020-09-21,480,474.5,483,468,2.8,-0.63
2020-09-22,470,472,483,467.5,3.7,-0.53
2020-09-23,470,470,475,463.5,2,-0.42
2020-09-24,467.5,458,467.5,454,3.23,-2.55
2020-09-25,461,458.5,462.5,456.5,2.29,0.11
2020-09-28,461,481.5,481.5,458.5,4.45,5.02
2020-09-29,483,484,485.5,472.5,2.05,0.52
2020-09-30,482,485,485,476.5,1.73,0.21
2020-10-01,485,478.5,493,473.5,2.48,-1.34
