Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
1/2/2020,282,286.8,286.8,281,47.7,0
1/3/2020,287,286,289.8,281.1,69.37,-0.28
1/7/2020,287.1,283.8,288.4,282.9,60.53,-0.77
1/8/2020,283.5,281.1,283.8,277.3,62.98,-0.95
1/9/2020,284,288.6,288.6,283,55.87,2.67
1/10/2020,289.5,285,292.7,284.5,75.95,-1.25
1/13/2020,287.8,290.6,290.6,284.2,60.28,1.96
1/14/2020,290.5,288.5,291.8,286.2,77.96,-0.72
1/15/2020,289.4,283.2,289.6,282.7,74.96,-1.84
1/16/2020,282.5,282.3,286,279.2,70.1,-0.32
1/17/2020,253.8,266.5,268,243,711.8,-5.6
1/20/2020,268.7,281.5,282.6,267.1,211.97,5.63
1/21/2020,281.7,278.8,285.7,273.6,124.17,-0.96
1/22/2020,281.9,275.6,284,274.4,138.45,-1.15
1/23/2020,274,274,278.5,272.8,125.23,-0.58
1/24/2020,273,276,277.5,271.2,90.52,0.73
1/27/2020,277.1,271,279.3,268.3,71.64,-1.81
1/28/2020,271.5,276.3,276.3,271.5,67.51,1.96
1/29/2020,277,277.3,277.9,274.2,110.01,0.36
1/30/2020,277,277.9,278.4,274,92.76,0.22
1/31/2020,278,281.6,281.6,274.5,155.04,1.33
2/3/2020,280.6,293.5,293.5,279.5,170.09,4.23
2/4/2020,293.5,305,305,290.3,200.23,3.92
2/5/2020,303,308,320.6,302.3,246.49,0.98
2/6/2020,309.5,313.7,314.5,305.7,103.05,1.85
2/7/2020,313.3,308.8,316.8,307.4,72.86,-1.56
2/10/2020,310.9,310.7,313.4,310,38.03,0.62
2/11/2020,313,310.5,317,310.5,67.83,-0.06
2/12/2020,311,313.2,315.8,308.4,73.26,0.87
2/13/2020,313.1,318.7,318.7,312.2,80.24,1.76
2/14/2020,319.3,326,326.8,317.5,128.44,2.29
2/17/2020,327.6,326,336,323.6,56.24,0
2/18/2020,325.4,329,330.8,323,37.47,0.92
2/19/2020,330,330.8,331.9,325.7,100.81,0.55
2/20/2020,330.6,328.5,331.9,326.6,64.9,-0.7
2/21/2020,328,331,334,326.6,67.15,0.76
2/24/2020,327.6,320.2,330,319,129.25,-3.26
2/25/2020,316.2,307.3,321.7,305.3,191.58,-4.03
2/26/2020,301.6,307.8,316.6,297,161.05,0.16
2/27/2020,308,292.5,311,290.7,137.63,-4.97
2/28/2020,276,278.5,286,261.6,306.06,-4.79
3/2/2020,287.9,284.4,298,272,191.86,2.12
3/3/2020,295,305.8,306.9,290.2,223.74,7.52
3/4/2020,300.3,295.6,304.4,292.5,123.1,-3.34
3/5/2020,303,297.6,305.5,294.2,90.58,0.68
3/6/2020,294.6,293.2,294.9,283,104.89,-1.48
3/9/2020,266,270,284,259.5,191.21,-7.91
3/10/2020,275,270.3,280,268,124.56,0.11
3/11/2020,270.3,270.3,270.3,270.3,0,0
3/12/2020,270.3,270.3,270.3,270.3,0,0
3/13/2020,230,243.9,253,223.8,297.58,-9.77
3/16/2020,235.9,252,272,222,234.59,3.32
3/17/2020,262,268.6,272.8,255.2,229.68,6.59
3/18/2020,269.5,258.3,281.2,255.3,189.22,-3.83
3/19/2020,258.3,273.5,273.5,256.5,136.16,5.88
3/20/2020,281,266.5,283.3,256.4,252.87,-2.56
3/23/2020,257.1,265.2,272,250,115.84,-0.49
3/24/2020,277.1,276.6,280.6,268.3,118.74,4.3
3/25/2020,284,277.6,287.7,272,107.09,0.36
3/26/2020,275.9,281.1,281.8,273.5,82.21,1.26
3/27/2020,282.5,279,283.8,274.6,79.41,-0.75
3/30/2020,280,280.9,280.9,273.2,77.69,0.68
3/31/2020,283,289.1,289.9,281.2,102.16,2.92
4/1/2020,283.5,282.1,287.9,279,76.06,-2.42
4/2/2020,282.1,287.8,287.8,276.5,81.68,2.02
4/3/2020,289,297,297.8,285.1,121.19,3.2
4/6/2020,305,318.2,318.7,304.3,124.34,7.14
4/7/2020,329,302.7,331.6,302.7,178.86,-4.87
4/8/2020,295,308.9,311.8,293,92.37,2.05
4/9/2020,331,329,333.9,319.7,225.58,6.51
4/10/2020,329,329,329,329,0,0
4/13/2020,329,329,329,329,0,0
4/14/2020,331,342,342.8,324.6,139.49,3.95
4/15/2020,343.7,342.2,344.9,338.3,195.27,0.06
4/16/2020,342.8,334.2,344.6,332.7,140.71,-2.34
4/17/2020,338.3,339.5,344.2,337,79.25,1.59
4/20/2020,339,345.2,346,335,76.24,1.68
4/21/2020,342.6,336,344.2,336,63.53,-2.67
4/22/2020,336,347,347,334,89.17,3.27
4/23/2020,343,354.7,354.7,342,106.1,2.22
4/24/2020,351.6,363.4,373.4,344,162.26,2.45
4/27/2020,367.5,368,374,366.1,121.31,1.27
4/28/2020,368.3,359.1,372.4,358.3,119.76,-2.42
4/29/2020,359.1,361.2,365.1,353.4,92.31,0.58
4/30/2020,362.7,357.6,367.5,351.4,116.48,-1
5/4/2020,351,357.9,365,348.6,88.17,0.08
5/5/2020,360.3,357.5,361,351.2,73.24,-0.11
5/6/2020,361.5,360,363.6,356.3,155.87,0.7
5/7/2020,360,355.6,363.2,354.1,70.58,-1.22
5/8/2020,359.2,354.9,359.7,352.5,68.25,-0.2
5/11/2020,358,363,363.6,354.1,85.44,2.28
5/12/2020,360.8,372.8,375.9,360.5,156.32,2.7
5/13/2020,371,379.5,379.6,370.4,103.97,1.8
5/14/2020,377.1,370,378.6,364.2,126.88,-2.5
5/15/2020,370.1,371.1,374.6,366.3,88.9,0.3
5/18/2020,375.4,385.2,385.2,371,93.02,3.8
5/19/2020,388.1,379.7,389,377.7,94.28,-1.43
5/20/2020,381.8,395,397.4,380.2,127.83,4.03
5/21/2020,394.8,392.6,400.2,391.4,127.77,-0.61
5/22/2020,390,393.4,396.9,388.8,88.36,0.2
5/25/2020,395.4,397.5,403.1,395.4,45.83,1.04
5/26/2020,400,413,417.7,398,176.36,3.9
5/27/2020,413,381.5,413.5,381,279.25,-7.63
5/28/2020,389.1,399,399.7,385.3,147.31,4.59
5/29/2020,411,403.8,412.9,393.1,340.29,1.2
